rank,exp,exp_sum,credit,credit_sum,budge
1,0,0,18000,18000,
2,900,900,18500,36500,
3,500,1400,19000,55500,
4,1500,2000,19500,75000,
5,1100,2600,20000,95000,
6,2000,3100,20500,115500,
7,1700,3700,21000,136500,
8,2500,4200,21500,158000,
9,2300,4800,22000,180000,
10,3000,5300,23500,203500,3_14
11,3600,6600,25000,228500,
12,4300,7900,26500,255000,
13,4700,9000,28000,283000,
14,5700,10400,29500,312500,
15,5800,11500,31000,343500,
16,7000,12800,32500,376000,
17,7100,14100,34000,410000,
18,8200,15300,35500,445500,
19,8400,16600,37000,482500,
20,9400,17800,38500,521000,2_14
21,10600,20000,40000,561000,
22,11600,22200,41500,602500,
23,12900,24500,43000,645500,
24,13800,26700,44500,690000,
25,15100,28900,46000,736000,
26,16100,31200,47500,783500,
27,17300,33400,49000,832500,
28,18300,35600,50500,883000,
29,19500,37800,52000,935000,
30,20500,40000,53500,988500,1_11
31,24000,44500,55000,1043500,
32,25000,49000,56500,1100000,
33,28400,53400,58000,1158000,
34,29400,57800,59500,1217500,
35,32900,62300,61000,1278500,
36,33900,66800,62500,1341000,
37,37300,71200,64000,1405000,
38,38300,75600,65500,1470500,
39,41800,80100,67000,1537500,
40,42800,84600,68500,1606000,M_3
41,50200,93000,70000,1676000,
42,51300,101500,71500,1747500,
43,58600,109900,73000,1820500,
44,59700,118300,74500,1895000,
45,67200,126900,76000,1971000,
46,68000,135200,77500,2048500,
47,75800,143800,79000,2127500,
48,76400,152200,80500,2208000,
49,84200,160600,82000,2290000,
50,84900,169100,0,2290000,M_6
