rank,exp,exp_sum,credit,credit_sum,budge
1,,0,70000,70000,
2,1300,1300,72000,142000,
3,800,2100,74000,216000,
4,2100,2900,76000,292000,
5,1700,3800,78000,370000,
6,2800,4500,80000,450000,
7,2600,5400,82000,532000,
8,3600,6200,84000,616000,
9,3400,7000,86000,702000,3_15
10,4400,7800,91600,793600,
11,5200,9600,97200,890800,
12,6200,11400,102800,993600,
13,7100,13300,108400,1102000,
14,8000,15100,114000,1216000,
15,8900,16900,119600,1335600,
16,9800,18700,125200,1460800,
17,10700,20500,130800,1591600,
18,11700,22400,136400,1728000,
19,12500,24200,142000,1870000,
20,13500,26000,147600,2017600,2_15
21,15700,29200,153200,2170800,
22,16800,32500,158800,2329600,
23,19000,35800,164400,2494000,
24,20000,39000,170000,2664000,
25,22200,42200,175600,2839600,
26,23300,45500,181200,3020800,
27,25500,48800,186800,3207600,
28,26500,52000,192400,3400000,
29,28700,55200,198000,3598000,
30,29800,58500,203600,3801600,1_12
31,35200,65000,209200,4010800,
32,36300,71500,214800,4225600,
33,41700,78000,220400,4446000,
34,42800,84500,226000,4672000,
35,48200,91000,231600,4903600,
36,49300,97500,237200,5140800,
37,54700,104000,242800,5383600,
38,55800,110500,248400,5632000,
39,61200,117000,254000,5886000,
40,62300,123500,259600,6145600,M_4
41,73600,135900,265200,6410800,
42,74600,148200,270800,6681600,
43,85900,160500,276400,6958000,
44,87000,172900,282000,7240000,
45,98300,185300,287600,7527600,
46,99300,197600,293200,7820800,
47,110600,209900,298800,8119600,
48,111700,222300,304400,8424000,
49,123000,234700,310000,8734000,
50,124000,247000,0,8734000,M_8
