rank,exp,exp_sum,credit,credit_sum,budge
1,0,0,0,0,
2,1500,1500,127000,127000,
3,2300,3800,130000,257000,
4,3300,7100,133000,390000,
5,4100,11200,136000,526000,
6,5100,16300,139000,665000,
7,6000,22300,142000,807000,
8,6900,29200,145000,952000,
9,7800,37000,148000,1100000,
10,8700,45700,151000,1251000,3_15
11,10700,56400,160500,1411500,
12,12800,69200,170000,1581500,
13,14800,84000,179500,1761000,
14,16800,100800,189000,1950000,
15,18800,119600,198500,2148500,
16,20900,140500,208000,2356500,
17,22900,163400,217500,2574000,
18,25000,188400,227000,2801000,
19,26900,215300,236500,3037500,
20,29000,244300,246000,3283500,2_15
21,32700,277000,255500,3539000,
22,36200,313200,265000,3804000,
23,39900,353100,274500,4078500,
24,40500,393600,284000,4362500,
25,50100,443700,293500,4656000,
26,50800,494500,303000,4959000,
27,54300,548800,312500,5271500,
28,58000,606800,322000,5593500,
29,61700,668500,331500,5925000,
30,65200,733700,341000,6266000,1_14
31,72500,806200,350500,6616500,
32,79800,886000,360000,6976500,
33,87000,973000,369500,7346000,
34,94200,1067200,379000,7725000,
35,101500,1168700,388500,8113500,
36,108800,1277500,398000,8511500,
37,116000,1393500,407500,8919000,
38,123200,1516700,417000,9336000,
39,130500,1647200,426500,9762500,
40,137800,1785000,436000,10198500,M_4
41,151500,1936500,445500,10644000,
42,165300,2101800,455000,11099000,
43,179100,2280900,464500,11563500,
44,192800,2473700,474000,12037500,
45,206600,2680300,483500,12521000,
46,220400,2900700,493000,13014000,
47,234200,3134900,502500,13516500,
48,248000,3382900,512000,14028500,
49,261700,3644600,521500,14550000,
50,275500,3920100,531000,15081000,M_8
